activity_code_old,activity_code_new,match_type,package_itinerary_id,package_itinerary_slug,package_itinerary_title,day_index,itinerary_index,status,reason,old_module_id_found,new_title,new_activity_id,mode
E-E10-25NASI0071,320011,Similar,68e660e06d75b94945ca5df6,the-japan-journey,The Japan Journey,5,2,replaced_old_code,,E-E10-25NASI0071,Kyoto Private One Day Tour with Hotel Pick-up from Osaka/Kyoto/Kobe,6a1691da37329733e77b1bc4,live
E-E10-JP-NRTJ18,TRA_57779,Exact Match,68e660e06d75b94945ca5df6,the-japan-journey,The Japan Journey,8,1,replaced_old_code,,E-E10-JP-NRTJ18,Tokyo Mt. Fuji & Hakone Full-Day Guided Tour(Return by Motorcoach),6a070acd0514b9b2e2559563,live
E-E10-A1NSNO0865,A1,Similar,68e660e06d75b94945ca5dfb,tokyo-kyoto-discovery,Tokyo & Kyoto Discovery,3,1,replaced_old_code,,E-E10-A1NSNO0865,TeamLab Planets TOKYO Ticket,6a16918e8e9873e297863dc1,live
E-E10-A1MLNO1762,A6,New Activity,68e660e06d75b94945ca5dfb,tokyo-kyoto-discovery,Tokyo & Kyoto Discovery,4,2,replaced_old_code,,E-E10-A1MLNO1762,TeamLab Biovortex Kyoto Ticket,6a16918f8e9873e297863ddb,live
E-E10-25NASI0071,320011,Similar,68e660e06d75b94945ca5dfb,tokyo-kyoto-discovery,Tokyo & Kyoto Discovery,5,1,replaced_old_code,,E-E10-25NASI0071,Kyoto Private One Day Tour with Hotel Pick-up from Osaka/Kyoto/Kobe,6a1691da37329733e77b1bc4,live
TRA_56242,589308,Similar,68e660e06d75b94945ca5dfb,tokyo-kyoto-discovery,Tokyo & Kyoto Discovery,3,2,replaced_old_code,,TRA_56242,Tokyo: Sumo Live Show with Photo in Shinjuku,6a1691a18e9873e297863eae,live
E-E10-JP-NRTJ18,TRA_57779,Exact Match,68e660e06d75b94945ca5dec,sakura-escape,Sakura Escape,3,1,replaced_old_code,,E-E10-JP-NRTJ18,Tokyo Mt. Fuji & Hakone Full-Day Guided Tour(Return by Motorcoach),6a070acd0514b9b2e2559563,live
E-E10-JP-KIXJ11,489377,Similar,68e660e06d75b94945ca5dec,sakura-escape,Sakura Escape,5,1,replaced_old_code,,E-E10-JP-KIXJ11,Nara Charter Car Customizable 1-Day Trip (from Kyoto),6a1691928e9873e297863e00,live
E-E10-A1NSNO0788,320011,New Activity,68e660e06d75b94945ca5dec,sakura-escape,Sakura Escape,5,2,replaced_old_code,,E-E10-A1NSNO0788,Kyoto Private One Day Tour with Hotel Pick-up from Osaka/Kyoto/Kobe,6a1691da37329733e77b1bc4,live
E-E10-25NASI0071,320011,Similar,68e660e06d75b94945ca5dec,sakura-escape,Sakura Escape,6,1,replaced_old_code,,E-E10-25NASI0071,Kyoto Private One Day Tour with Hotel Pick-up from Osaka/Kyoto/Kobe,6a1691da37329733e77b1bc4,live
