activity_code_old,activity_code_new,match_type,package_itinerary_id,package_itinerary_slug,package_itinerary_title,day_index,itinerary_index,status,reason,old_module_id_found,new_title,new_activity_id,mode
E-E10-JP-KIXJ11,489377,Similar,68e660e06d75b94945ca5dce,a-japenese-love-story,A Japenese Love Story,7,1,skipped,new activity 489377 not found in activity collection,E-E10-JP-KIXJ11,,,dry_run
E-E10-A1NSNO0810,546327,Similar,68e660e06d75b94945ca5df6,the-japan-journey,The Japan Journey,2,1,skipped,new activity 546327 not found in activity collection,E-E10-A1NSNO0810,,,dry_run
E-E10-JP-KIXJ11,489377,Similar,68e660e06d75b94945ca5df6,the-japan-journey,The Japan Journey,5,1,skipped,new activity 489377 not found in activity collection,E-E10-JP-KIXJ11,,,dry_run
E-E10-25NASI0071,320011,Similar,68e660e06d75b94945ca5df6,the-japan-journey,The Japan Journey,5,2,skipped,new activity 320011 not found in activity collection,E-E10-25NASI0071,,,dry_run
E-E10-JP-NRTJ18,TRA_57779,Exact Match,68e660e06d75b94945ca5df6,the-japan-journey,The Japan Journey,8,1,skipped,new activity TRA_57779 not found in activity collection,E-E10-JP-NRTJ18,,,dry_run
E-E10-A1NSNO0865,A1,Similar,68e660e06d75b94945ca5dfb,tokyo-kyoto-discovery,Tokyo & Kyoto Discovery,3,1,skipped,new activity A1 not found in activity collection,E-E10-A1NSNO0865,,,dry_run
E-E10-A1MLNO1762,A6,New Activity,68e660e06d75b94945ca5dfb,tokyo-kyoto-discovery,Tokyo & Kyoto Discovery,4,2,skipped,new activity A6 not found in activity collection,E-E10-A1MLNO1762,,,dry_run
E-E10-25NASI0071,320011,Similar,68e660e06d75b94945ca5dfb,tokyo-kyoto-discovery,Tokyo & Kyoto Discovery,5,1,skipped,new activity 320011 not found in activity collection,E-E10-25NASI0071,,,dry_run
TRA_56242,589308,Similar,68e660e06d75b94945ca5dfb,tokyo-kyoto-discovery,Tokyo & Kyoto Discovery,3,2,skipped,new activity 589308 not found in activity collection,TRA_56242,,,dry_run
E-E10-JP-NRTJ18,TRA_57779,Exact Match,68e660e06d75b94945ca5dec,sakura-escape,Sakura Escape,3,1,skipped,new activity TRA_57779 not found in activity collection,E-E10-JP-NRTJ18,,,dry_run
E-E10-JP-KIXJ11,489377,Similar,68e660e06d75b94945ca5dec,sakura-escape,Sakura Escape,5,1,skipped,new activity 489377 not found in activity collection,E-E10-JP-KIXJ11,,,dry_run
E-E10-A1NSNO0788,320011,New Activity,68e660e06d75b94945ca5dec,sakura-escape,Sakura Escape,5,2,skipped,new activity 320011 not found in activity collection,E-E10-A1NSNO0788,,,dry_run
E-E10-25NASI0071,320011,Similar,68e660e06d75b94945ca5dec,sakura-escape,Sakura Escape,6,1,skipped,new activity 320011 not found in activity collection,E-E10-25NASI0071,,,dry_run
