activity_code,activity_id,title,price_count,image_count,status,reason,mode
E-E10-A0VWNO0275,68caf51f38bc2f92a80ba396,Kyoto and Nara (Buffet) from Osaka Namba,0,1,deleted,"japan activity, cms activityCode not in static sheet (227 allowed)",live
E-E10-A1ABNO0593,68caf52038bc2f92a80ba4ff,Tranquility in Kyoto: Bamboo Artistry and Zen Temples - Full-Day Tour,0,1,deleted,"japan activity, cms activityCode not in static sheet (227 allowed)",live
E-E10-A1ABNO0594,68caf52038bc2f92a80ba500,Discover the Hidden Gems on the Kyoto Heritage Path - Full-Day Tour,0,1,deleted,"japan activity, cms activityCode not in static sheet (227 allowed)",live
E-E10-A1ABNO0592,68caf52038bc2f92a80ba4fe,Discover the Scenic Areas of Western Kyoto: Arashiyama to Kinkakuji - Full-Day tour,0,1,deleted,"japan activity, cms activityCode not in static sheet (227 allowed)",live
E-E10-A1ABNO0591,68caf52038bc2f92a80ba4fd,Explore the Castle and Temples of Osaka  with a Ukiyoe Experience - Full-Day Walking Tour,0,1,deleted,"japan activity, cms activityCode not in static sheet (227 allowed)",live
E-E10-A1MANO0356,68caf52138bc2f92a80ba69c,Tokyo DisneySea Park 1-Day Pass with Optional Private Transfers,0,1,deleted,"japan activity, cms activityCode not in static sheet (227 allowed)",live
E-E10-A1MLNO1486,68caf52138bc2f92a80ba7af,Explore Tokyo with Customizable Itinerary - Private Tour ,0,1,deleted,"japan activity, cms activityCode not in static sheet (227 allowed)",live
E-E10-A1MLNO1490,68caf52138bc2f92a80ba7b3, Explore Nikko with Customizable Itinerary - Full-Day Private Tour,0,1,deleted,"japan activity, cms activityCode not in static sheet (227 allowed)",live
E-E10-A1MANO0353,68caf52138bc2f92a80ba69a,Tokyo DisneyLand Park 1-Day Ticket ,0,1,deleted,"japan activity, cms activityCode not in static sheet (227 allowed)",live
E-E10-A1MANO0354,68caf52138bc2f92a80ba69b,Universal Studio Japan -  Studio Pass (Park Entry Ticket),0,1,deleted,"japan activity, cms activityCode not in static sheet (227 allowed)",live
