Activity ID,currency,min_threshold,max_threshold,price_per_person,price_per_vehicle,slab_type,vehicle_type
614510,USD,1,10,,1658.021277,transfer,none
614514,USD,1,7,,1921.797872,transfer,none
614532,USD,1,9,,2034.840426,transfer,none
614543,USD,1,7,,1921.797872,transfer,none
614552,USD,1,9,,2034.840426,transfer,none
614566,USD,1,7,,2637.755319,transfer,none
614574,USD,1,9,,2637.755319,transfer,none
614581,USD,1,7,,2863.851064,transfer,none
614590,USD,1,9,,3165.308511,transfer,none
654051,USD,1,3,,256.2340426,transfer,none
654051,USD,4,6,,269.0531915,transfer,none
654051,USD,7,9,,320.2978723,transfer,none
666757,USD,3,99,48.04255319,,ticket,none
669078,USD,14,66,19.21276596,,ticket,none
678068,USD,0,99,52.40425532,,ticket,none
678074,USD,0,99,52.40425532,,ticket,none
682825,USD,3,99,58.45744681,,ticket,none
685863,USD,3,99,52.05319149,,ticket,none
695165,USD,3,99,64.06382979,,ticket,none
T12,USD,2,3,,55,transfer,none
T12,USD,4,5,,70,transfer,none
T12,USD,6,7,,75,transfer,none
T12,USD,8,9,,125,transfer,none
T13,USD,2,3,,70,transfer,none
T13,USD,4,5,,108,transfer,none
T13,USD,6,7,,108,transfer,none
T13,USD,8,9,,115,transfer,none
T14,USD,2,3,,68,transfer,none
T14,USD,4,4,,68,transfer,none
T14,USD,5,6,,88,transfer,none
T14,USD,7,9,,120,transfer,none
T15,USD,2,3,,68,transfer,none
T15,USD,4,4,,68,transfer,none
T15,USD,5,6,,88,transfer,none
T15,USD,7,9,,120,transfer,none
R13,USD,0,5,0,,ticket,none
R13,USD,6,11,16,,ticket,none
R13,USD,12,99,26,,ticket,none
R14,USD,0,5,0,,ticket,none
R14,USD,6,11,13,,ticket,none
R14,USD,12,99,26,,ticket,none
R15,USD,0,5,0,,ticket,none
R15,USD,6,11,62,,ticket,none
R15,USD,12,99,125,,ticket,none
R16,USD,0,5,0,,ticket,none
R16,USD,6,11,62,,ticket,none
R16,USD,12,99,121,,ticket,none
R17,USD,0,5,0,,ticket,none
R17,USD,6,11,61,,ticket,none
R17,USD,12,99,122,,ticket,none
R18,USD,0,5,0,,ticket,none
R18,USD,6,11,62,,ticket,none
R18,USD,12,99,126,,ticket,none
R19,USD,0,5,0,,ticket,none
R19,USD,6,11,52,,ticket,none
R19,USD,12,99,104,,ticket,none
R20,USD,0,5,0,,ticket,none
R20,USD,6,11,39,,ticket,none
R20,USD,12,99,78,,ticket,none
R22,USD,0,5,0,,ticket,none
R22,USD,6,11,27,,ticket,none
R22,USD,12,99,53,,ticket,none
R23,USD,0,5,0,,ticket,none
R23,USD,6,11,30,,ticket,none
R23,USD,12,99,61,,ticket,none
R24,USD,0,5,0,,ticket,none
R24,USD,6,11,91,,ticket,none
R24,USD,12,99,183,,ticket,none
R25,USD,0,5,0,,ticket,none
R25,USD,6,11,55,,ticket,none
R25,USD,12,99,111,,ticket,none
R26,USD,0,5,0,,ticket,none
R26,USD,6,11,51,,ticket,none
R26,USD,12,99,101,,ticket,none
A25,USD,0,99,61,,ticket,none
T16,USD,2,3,,100,transfer,none
T16,USD,4,5,,133,transfer,none
T16,USD,6,7,,148,transfer,none
T16,USD,8,9,,230,transfer,none
T17,USD,2,3,,70,transfer,none
T17,USD,4,5,,108,transfer,none
T17,USD,6,7,,108,transfer,none
T17,USD,8,9,,115,transfer,none
A13,USD,0,3,0,,ticket,none
A13,USD,4,12,9,,ticket,none
A13,USD,13,17,18,,ticket,none
A13,USD,18,99,25,,ticket,none
A14,USD,0,3,0,,ticket,none
A14,USD,4,12,9,,ticket,none
A14,USD,13,17,18,,ticket,none
A14,USD,18,99,28,,ticket,none
A15,USD,0,3,0,,ticket,none
A15,USD,4,12,10,,ticket,none
A15,USD,13,17,19,,ticket,none
A15,USD,18,99,30,,ticket,none
A16,USD,0,3,0,,ticket,none
A16,USD,4,12,10,,ticket,none
A16,USD,13,17,19,,ticket,none
A16,USD,18,99,31,,ticket,none
A17,USD,0,3,0,,ticket,none
A17,USD,4,12,11,,ticket,none
A17,USD,13,17,18,,ticket,none
A17,USD,18,99,28,,ticket,none
A18,USD,0,3,0,,ticket,none
A18,USD,4,12,11,,ticket,none
A18,USD,13,17,18,,ticket,none
A18,USD,18,99,27,,ticket,none
A19,USD,0,5,0,,ticket,none
A19,USD,6,14,11,,ticket,none
A19,USD,15,99,22,,ticket,none
A20,USD,0,5,0,,ticket,none
A20,USD,6,14,11,,ticket,none
A20,USD,15,99,22,,ticket,none
A21,USD,0,5,0,,ticket,none
A21,USD,6,12,0,,ticket,none
A21,USD,13,99,18,,ticket,none
A22,USD,0,5,0,,ticket,none
A22,USD,6,12,0,,ticket,none
A22,USD,13,99,22,,ticket,none
A23,USD,0,3,0,,ticket,none
A23,USD,4,6,6,,ticket,none
A23,USD,7,15,15,,ticket,none
A23,USD,16,17,18,,ticket,none
A23,USD,18,99,19,,ticket,none
A24,USD,0,3,0,,ticket,none
A24,USD,4,6,6,,ticket,none
A24,USD,7,15,15,,ticket,none
A24,USD,16,17,18,,ticket,none
A24,USD,18,99,19,,ticket,none
A25,USD,0,99,61,,ticket,none
